"Location";"Suicide Rates Low";"Suicide Rates Medium-Low";"Suicide Rates Medium-High";"Suicide Rates High";"BMI Low";"BMI Medium-Low";"BMI Medium-High";"BMI High";"UV Radiation Low";"UV Radiation Medium-Low";"UV Radiation Medium-High";"UV Radiation High";"Nurses working in mental health sector Low";"Nurses working in mental health sector Medium-Low";"Nurses working in mental health sector Medium-High";"Nurses working in mental health sector High";"Adolescent birth rate Low";"Adolescent birth rate Medium-Low";"Adolescent birth rate Medium-High";"Adolescent birth rate High";"Alcohol  - young age Low";"Alcohol  - young age Medium-Low";"Alcohol  - young age Medium-High";"Alcohol  - young age High";"Alcohol Low";"Alcohol Medium-Low";"Alcohol Medium-High";"Alcohol High";"Tobacco Low";"Tobacco Medium-Low";"Tobacco Medium-High";"Tobacco High";"Government expeditures on mental health Low";"Government expeditures on mental health Medium-Low";"Government expeditures on mental health Medium-High";"Government expeditures on mental health High";"Psychiatrists working in mental health sector Low";"Psychiatrists working in mental health sector Medium-Low";"Psychiatrists working in mental health sector Medium-High";"Psychiatrists working in mental health sector High";"Mental hospital admissions Low";"Mental hospital admissions Medium-Low";"Mental hospital admissions Medium-High";"Mental hospital admissions High";"Out of pocket health-expenditures Low";"Out of pocket health-expenditures Medium-Low";"Out of pocket health-expenditures Medium-High";"Out of pocket health-expenditures High";"Raised Blood Pressure Low";"Raised Blood Pressure Medium-Low";"Raised Blood Pressure Medium-High";"Raised Blood Pressure High";"Social workers working in mental health sector Low ";"Social workers working in mental health sector Medium-Low";"Social workers working in mental health sector Medium-High";"Social workers working in mental health sector High";"Women married at a young age Low";"Women married at a young age Medium-Low";"Women married at a young age Medium-High";"Women married at a young age High"
"Afghanistan";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false"
"Albania";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"true";"false";"false";"false"
"Algeria";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false"
"Angola";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false"
"Antigua and Barbuda";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false"
"Argentina";"false";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"Armenia";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"true";"false";"false";"true";"false";"false";"false"
"Australia";"false";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"Austria";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false"
"Azerbaijan";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false"
"Bahamas";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"Bahrain";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false"
"Bangladesh";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true"
"Barbados";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false"
"Belarus";"false";"false";"false";"true";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false"
"Belgium";"false";"false";"false";"true";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"Belize";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false"
"Benin";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false"
"Bhutan";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false"
"Bolivia (Plurinational State of)";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false"
"Bosnia and Herzegovina";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"true";"false";"false";"false"
"Botswana";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"Brazil";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true"
"Brunei Darussalam";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false"
"Bulgaria";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false"
"Burkina Faso";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true"
"Burundi";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false"
"Cabo Verde";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false"
"Cambodia";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false"
"Cameroon";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true"
"Canada";"false";"false";"true";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false"
"Central African Republic";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"true"
"Chad";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"true"
"Chile";"false";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"China";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"Colombia";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false"
"Comoros";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true"
"Congo";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false"
"Costa Rica";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false"
"Croatia";"false";"false";"true";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false"
"Cuba";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false"
"Cyprus";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false"
"Czechia";"false";"false";"true";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false"
"CÃ´te dâ€™Ivoire";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false"
"Democratic People's Republic of Korea";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"Democratic Republic of the Congo";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true"
"Denmark";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"Djibouti";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false"
"Dominican Republic";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true"
"Ecuador";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false"
"Egypt";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false"
"El Salvador";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false"
"Equatorial Guinea";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false"
"Eritrea";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true"
"Estonia";"false";"false";"false";"true";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false"
"Eswatini";"false";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false"
"Ethiopia";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true"
"Fiji";"false";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false"
