"Location";"Suicide Rates Low";"Suicide Rates Medium-Low";"Suicide Rates Medium-High";"Suicide Rates High";"BMI Low";"BMI Medium-Low";"BMI Medium-High";"BMI High";"UV Radiation Low";"UV Radiation Medium-Low";"UV Radiation Medium-High";"UV Radiation High";"Nurses working in mental health sector Low";"Nurses working in mental health sector Medium-Low";"Nurses working in mental health sector Medium-High";"Nurses working in mental health sector High";"Adolescent birth rate Low";"Adolescent birth rate Medium-Low";"Adolescent birth rate Medium-High";"Adolescent birth rate High";"Alcohol  - young age Low";"Alcohol  - young age Medium-Low";"Alcohol  - young age Medium-High";"Alcohol  - young age High";"Alcohol Low";"Alcohol Medium-Low";"Alcohol Medium-High";"Alcohol High";"Tobacco Low";"Tobacco Medium-Low";"Tobacco Medium-High";"Tobacco High";"Government expeditures on mental health Low";"Government expeditures on mental health Medium-Low";"Government expeditures on mental health Medium-High";"Government expeditures on mental health High";"Psychiatrists working in mental health sector Low";"Psychiatrists working in mental health sector Medium-Low";"Psychiatrists working in mental health sector Medium-High";"Psychiatrists working in mental health sector High";"Mental hospital admissions Low";"Mental hospital admissions Medium-Low";"Mental hospital admissions Medium-High";"Mental hospital admissions High";"Out of pocket health-expenditures Low";"Out of pocket health-expenditures Medium-Low";"Out of pocket health-expenditures Medium-High";"Out of pocket health-expenditures High";"Raised Blood Pressure Low";"Raised Blood Pressure Medium-Low";"Raised Blood Pressure Medium-High";"Raised Blood Pressure High";"Social workers working in mental health sector Low ";"Social workers working in mental health sector Medium-Low";"Social workers working in mental health sector Medium-High";"Social workers working in mental health sector High";"Women married at a young age Low";"Women married at a young age Medium-Low";"Women married at a young age Medium-High";"Women married at a young age High"
"Finland";"false";"false";"false";"true";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false"
"France";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false"
"Gabon";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false"
"Gambia";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false"
"Georgia";"false";"true";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false"
"Germany";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false"
"Ghana";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false"
"Greece";"true";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false"
"Grenada";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false"
"Guatemala";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false"
"Guinea";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true"
"Guinea-Bissau";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false"
"Guyana";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false"
"Haiti";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false"
"Honduras";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false"
"Hungary";"false";"false";"false";"true";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false"
"Iceland";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"India";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false"
"Indonesia";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false"
"Iran (Islamic Republic of)";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false"
"Iraq";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false"
"Ireland";"false";"false";"true";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"Israel";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"Italy";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false"
"Jamaica";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false"
"Japan";"false";"false";"false";"true";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false"
"Jordan";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false"
"Kazakhstan";"false";"false";"false";"true";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false"
"Kenya";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false"
"Kiribati";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false"
"Kuwait";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"Kyrgyzstan";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false"
"Lao People's Democratic Republic";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false"
"Latvia";"false";"false";"false";"true";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false"
"Lebanon";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false"
"Lesotho";"false";"false";"false";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false"
"Liberia";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false"
"Libya";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"Lithuania";"false";"false";"false";"true";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false"
"Luxembourg";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"Madagascar";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true"
"Malawi";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false"
"Malaysia";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"Maldives";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false"
"Mali";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true"
"Malta";"false";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"Mauritania";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true"
"Mauritius";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false"
"Mexico";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false"
"Micronesia (Federated States of)";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"Mongolia";"false";"false";"false";"true";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false"
"Montenegro";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"true";"false";"false";"false"
"Morocco";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false"
"Mozambique";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true"
"Myanmar";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false"
"Namibia";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false"
"Nepal";"false";"false";"true";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false"
"Netherlands";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"New Zealand";"false";"false";"true";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"Nicaragua";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true"
"Niger";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"true"
"Nigeria";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true"
